nome,endereco,cidade,uf,cep,telefone,latitude,longitude
APS Juiz De Fora - Morro Da Glória,"Av. Dos Andradas - 221, Centro, Juiz De Fora - Mg",Juiz De Fora,MG,,,-21.7541543,-43.3522983
APS Espera Feliz,"Rua Genésio De Assis Marinho, 146, Centro, Espera Feliz - Mg",Espera Feliz,MG,,,-20.652005,-41.9113822
APS Bocaiuva,"Rua Cônego Versiane, 34, Centro, Bocaiuva - Mg",Bocaiuva,MG,,,-17.1121573,-43.814365
APS Espinosa,"Avenida João Araújo Lins, 60, Centro, Espinosa - Mg",Espinosa,MG,,,-14.9293938,-42.8158198
APS Janaúba,"Rua São João Da Ponte Nº 208, Centro, Janaúba - Mg",Janaúba,MG,,,-15.8053844,-43.3075564
APS Januária,"Rua Do Sertanejo, 140, Centro, Januária - Mg",Januária,MG,,,-15.4794377,-44.3663922
APS Montes Claros,"Rua Dom Pedro Ii 152, Centro, Montes Claros - Mg",Montes Claros,MG,,,-16.7247911,-43.8674984
APS Pirapora,"Praça Dos Cariris, 58, Centro, Pirapora - Mg",Pirapora,MG,,,-17.3519196,-44.9499939
APS São Francisco/Mg,"Av. Braziliano, Nº 790, Centro, São Francisco - Mg",São Francisco,MG,,,-15.9501827,-44.8637331
APS Salinas,"Rua Belo Horizonte, 44, Centro, Salinas - Mg",Salinas,MG,,,-16.1685204,-42.2983892
APS Brasília De Minas,"Rua Pedro Tampa, 141, Centro, Brasília De Minas - Mg",Brasília De Minas,MG,,,-16.2145995,-44.4317782
APS Coração De Jesus,"Avenida Juca Queiroz, 1045, Centro, Coração De Jesus - Mg",Coração De Jesus,MG,,,-16.6875461,-44.36635920000001
APS Rio Pardo De Minas,"Praça Marechal Deodoro, 196, Centro, Rio Pardo De Minas - Mg",Rio Pardo De Minas,MG,,,-15.6151338,-42.5432613
APS Manga,"Rua Governador Valadares, 1870, Centro, Manga - Mg",Manga,MG,,,-14.7534952,-43.9324604
APS Taiobeiras,"Rua Rio Pardo, 1035, Centro, Taiobeiras - Mg",Taiobeiras,MG,,,-15.8144099,-42.2261234
APS São João Do Paraiso/Mg,"Rua Mato Grosso 315, Centro, São João Do Paraiso - Mg",São João Do Paraiso,MG,,,-15.3156113,-42.0325271
APS Varzea Da Palma,"Rua Anália Aguiar 710, Centro, Varzea Da Palma - Mg",Varzea Da Palma,MG,,,-17.594995,-44.731765
APS Porteirinha,"Avenida Jose Silveira Lopes, 303, Centro, Porteirinha - Mg",Porteirinha,MG,,,-15.7411391,-43.0223479
APS Jaiba,,Jaiba,MG,,,,
APS Monte Azul,,Monte Azul,MG,,,,
APS Barão De Cocais,"Rua Presidente Tancredo Neves, 45, Centro, Barão De Cocais - Mg",Barão De Cocais,MG,,,-19.8571239,-43.4493948
APS Caeté - Tancredo Neves,,Caeté,MG,,,-19.87802,-43.6546451
APS Itabira,"Rua Padre Angelo, 20, Para, Itabira - Mg",Itabira,MG,,,-19.6240019,-43.2288898
APS Itabirito,"Avenida Queiroz Junior, 216, Centro, Itabirito - Mg",Itabirito,MG,,,-20.2536336,-43.8029148
APS João Monlevade,"Av. Wilson Alvarenga, 1455, Carneirinhos, João Monlevade - Mg",João Monlevade,MG,,,-19.807462,-43.1761708
APS Mariana,"Rua 16 De Julho, 316, Centro, Mariana - Mg",Mariana,MG,,,-20.3763497,-43.4153867
APS Nova Lima,"Praca Coronel Aristides, 15, Centro, Nova Lima - Mg",Nova Lima,MG,,,-19.9834566,-43.8504537
APS Ouro Preto,"Rua Benedito Valadares Nº 247, Rosario, Ouro Preto - Mg",Ouro Preto,MG,,,-20.3849941,-43.5106749
APS Ponte Nova,"Rua Assad Zaidam, 21, Palmeiras, Ponte Nova - Mg",Ponte Nova,MG,,,-20.4088123,-42.8969215
APS Sabará,"Rua Do Carmo, 77, Centro, Sabará - Mg",Sabará,MG,,,-19.8899911,-43.8085481
APS Raul Soares,"R. Antônio Vieira Dos Santos, 202 A, Centro, Raul Soares - Mg",Raul Soares,MG,,,-20.1043349,-42.4554352
APS Nova Era,"Rua Governador Valadares, 160, Centro, Nova Era - Mg",Nova Era,MG,,,-19.7663814,-43.0343005
APS Raposos,"Rua José Monsueto Calixto, 56, Centro, Raposos - Mg",Raposos,MG,,,-19.9668966,-43.8048186
APS Santa Barbara/Mg,,Santa Barbara,MG,,,,
APS Guaxupé,"Av. Conde Ribeiro Do Valle, 434, Centro, Guaxupé - Mg",Guaxupé,MG,,,-21.303149,-46.7089539
APS Itajubá,"Rua Doutor Americo De Oliveira 768, Varginha, Itajubá - Mg",Itajubá,MG,,,-22.4241383,-45.4503031
APS Machado,"Av. Santa Cruz, 515, Centro, Machado - Mg",Machado,MG,,,-21.6816334,-45.9247513
APS Poços De Caldas,"Av. Francisco Salles, 177, Centro, Poços De Caldas - Mg",Poços De Caldas,MG,,,-21.7849155,-46.5688853
APS Pouso Alegre,,Pouso Alegre,MG,,,,
APS Cambuí,"Rua Ozório Marques, 300, Centro, Cambuí - Mg",Cambuí,MG,,,-22.6070546,-46.0586337
APS Muzambinho,"Av. Dr. Americo Luz, 249, Centro, Muzambinho - Mg",Muzambinho,MG,,,-21.3728003,-46.5234162
APS Ouro Fino,"Avenida Joaquim Francisco De Assis, 420, Centro, Ouro Fino - Mg",Ouro Fino,MG,,,-22.2805953,-46.3637118
APS Santa Rita Do Sapucaí,"Rua Adelino Carneiro Pinto, 45, Centro, Santa Rita Do Sapucaí - Mg",Santa Rita Do Sapucaí,MG,,,-22.2544731,-45.7036942
APS Andradas,"Rua Jose Dirceu Graziani, 130, Centro, Andradas - Mg",Andradas,MG,,,-22.0644249,-46.5695487
APS Jacutinga,,Jacutinga,MG,,,-22.295125,-46.6180151
APS Araxá,"Tv Zeca Montandon, 10, Vila Rica, Araxá - Mg",Araxá,MG,,,-19.5885701,-46.9367925
APS Frutal,,Frutal,MG,,,-20.0173386,-48.9186178
APS Patos De Minas,"Rua Tiradentes, 500, Centro, Patos De Minas - Mg",Patos De Minas,MG,,,-18.5899443,-46.5183303
APS Patrocínio,"Rua Presidente Vargas, 1160, Centro, Patrocínio - Mg",Patrocínio,MG,,,-18.944263,-46.991355
APS Uberaba,"Rua Governador Valadares - 487, Fabricio, Uberaba - Mg",Uberaba,MG,,,-19.7451067,-47.9382209
APS Paracatu,"Rua Josino Valadares, 25, Centro, Paracatu - Mg",Paracatu,MG,,,-17.2210476,-46.8733149
APS Coromandel,"Rua Juvêncio Garcia, 100, Centro, Coromandel - Mg",Coromandel,MG,,,-18.470643,-47.205748
APS João Pinheiro,"Av. Dona Zica, Nº 763, Centro, João Pinheiro - Mg",João Pinheiro,MG,,,-17.7411125,-46.17812869999999
APS Ibiá,"Rua Prefeito Nóe Dias Dos Reis, 06, Centro, Ibiá - Mg",Ibiá,MG,,,-19.4878116,-46.5450499
APS Conceição Das Alagoas,"Av. Deolindo De Freitas Paixão, 628, Centro, Conceição Das Alagoas - Mg",Conceição Das Alagoas,MG,,,-19.9237449,-48.3745921
APS Sacramento,"Rua João Caiana, 15, Centro, Sacramento - Mg",Sacramento,MG,,,-19.7474612,-47.9354259
APS Carmo Do Paranaíba,"Rua Dr.Barcelos Nº 391, Juscelino Kubitschek, Carmo Do Paranaíba - Mg",Carmo Do Paranaíba,MG,,,-18.9956658,-46.31165319999999
APS São Gotardo,"Av. Paulo Shimada Nº 41, Centro, São Gotardo - Mg",São Gotardo,MG,,,-19.3091869,-46.0534322
APS Araguari,"Av. Cel Teodolino Pereira Araújo, 1080, Centro, Araguari - Mg",Araguari,MG,,,-18.6475952,-48.192284
APS Ituiutaba,"Av. 11, 50, Centro, Ituiutaba - Mg",Ituiutaba,MG,,,-18.9702986,-49.4589262
APS Monte Carmelo,"Rua Tiradentes 45, Centro, Monte Carmelo - Mg",Monte Carmelo,MG,,,-18.7270612,-47.4949089
APS Uberlândia,"Praça Clarimundo Carneiro, 162, Centro, Uberlândia - Mg",Uberlândia,MG,,,-18.9229573,-48.28221660000001
APS Campina Verde,"Rua 26, 47, Centro, Campina Verde - Mg",Campina Verde,MG,,,-19.5328846,-49.481202
APS Iturama,"Av. Rio Grande, 1165, Centro, Iturama - Mg",Iturama,MG,,,-19.7298187,-50.1994435
APS Prata/Mg,"Praça Juscelino Kubitschek, Centro, Prata - Mg",Prata,MG,,,-20.5811076,-46.9228511
APS Tupaciguara,"Rua Bueno Brandão, 106, Centro, Tupaciguara - Mg",Tupaciguara,MG,,,-18.5956065,-48.7013693
APS Alfenas,"Avenida Governador Valadares, 825, Centro, Alfenas - Mg",Alfenas,MG,,,-21.4171582,-45.9475162
APS Campo Belo,"Praça Dos Expedicionários, 47, Centro, Campo Belo - Mg",Campo Belo,MG,,,-20.8937254,-45.2767175
APS Caxambú,"Rua Major Penha, 386, Centro, Caxambú - Mg",Caxambú,MG,,,-21.9799199,-44.9319374
APS Lavras,"Rua Dr. Francisco Sales, 507, Centro, Lavras - Mg",Lavras,MG,,,-21.2477841,-45.0018578
APS São Lourenço,"Praça Humberto Sanches, 165, Centro, São Lourenço - Mg",São Lourenço,MG,,,-22.1180268,-45.0496596
APS Três Corações,"Rua Pedro Bonesio, 133, Centro, Três Corações - Mg",Três Corações,MG,,,-21.6960528,-45.2556157
APS Três Pontas,"Avenida Oswaldo Cruz, 580, Centro, Três Pontas - Mg",Três Pontas,MG,,,-21.3700796,-45.5059202
APS Varginha,"Rua Wenceslau Braz, 150, Centro, Varginha - Mg",Varginha,MG,,,-21.5549321,-45.4374684
APS Boa Esperança/Mg,"A. Marechal Floriano Peixoto, 319, Centro, Boa Esperança - Mg",Boa Esperança,MG,,,-21.0925068,-45.5600026
APS Campos Gerais,"Rua Jorge De Paula Meinberg, 14, Centro, Campos Gerais - Mg",Campos Gerais,MG,,,-21.2357107,-45.7582854
APS São Gonçalo Do Sapucaí,,São Gonçalo Do Sapucaí,MG,,,-21.941559,-45.4865943
APS Nepomuceno,,Nepomuceno,MG,,,-21.5374575,-43.0153622
APS Eloi Mendes,"Rua Quirino Pizzo, 245, Centro, Centro, Eloi Mendes - Mg",Eloi Mendes,MG,,,-21.6075771,-45.57338319999999
APS Corinto,"Avenida Getúlio Vargas, 305, Centro, Corinto - Mg",Corinto,MG,,,-18.3645118,-44.4577928
APS Curvelo,"Pça Benedito Valadares, 184, Centro, Curvelo - Mg",Curvelo,MG,,,-18.754719,-44.4295213
APS Diamantina,"Pça Dr Prado, 171, Centro, Diamantina - Mg",Diamantina,MG,,,-18.245613,-43.594757
APS Conceição Do Mato Dentro,"Avenida Rio Branco Nº 118, Centro, Conceição Do Mato Dentro - Mg",Conceição Do Mato Dentro,MG,,,-19.0357363,-43.4247512
APS Guanhães,"Pç Néria Coelho Guimarães, 179, Centro, Guanhães - Mg",Guanhães,MG,,,-18.7765863,-42.9339358
APS Minas Novas,"Av. Delfim Moreira, 156 A, Centro, Minas Novas - Mg",Minas Novas,MG,,,-17.2197535,-42.5897292
APS Capelinha,"Rua Getúlio Vargas, 300, Centro, Capelinha - Mg",Capelinha,MG,,,-17.6941218,-42.51743159999999
APS Três Marias,"Rua Minas Gerais 289, Centro, Três Marias - Mg",Três Marias,MG,,,-18.2057432,-45.2244557
APS Serro,"Rua Alferes Luiz Pinto, 25-A, Centro, Serro - Mg",Serro,MG,,,-18.603648,-43.380901
APS Itamarandiba,"Travessa Tiradentes, 25, Centro, Itamarandiba - Mg",Itamarandiba,MG,,,-17.8558276,-42.857772
APS Almenara,,Almenara,MG,,,-16.1610369,-40.6929639
APS Medina,"Rua 1° De Janeiro, 120, Centro, Medina - Mg",Medina,MG,,,-16.2225237,-41.4795038
APS Nanuque,"Rua Arthur Felipe Dos Santos, 164, Centro, Nanuque - Mg",Nanuque,MG,,,-17.8355751,-40.3493126
APS Pedra Azul,"Avenida Doutor Antero Lucena Ruas, Centro, Pedra Azul - Mg",Pedra Azul,MG,,,-15.9977417,-41.2798243
APS Teófilo Otoni,"Rua José De Souza Neves, 75, Marajoara, Teófilo Otoni - Mg",Teófilo Otoni,MG,,,-17.8739768,-41.508318
APS Aracuaí,"Avenida Dr Nuno Melo 289, Centro, Aracuaí - Mg",Aracuaí,MG,,,-16.8530619,-42.0675007
APS Águas Formosas,"Rua Alvim Couto, 114, Centro, Águas Formosas - Mg",Águas Formosas,MG,,,-17.0818345,-40.9320221
APS Jequitinhonha,,Jequitinhonha,MG,,,-16.4379329,-41.0070902
APS Itambacuri,"Avenida Frei Arcangelo 1370, Centro, Itambacuri - Mg",Itambacuri,MG,,,-18.0320804,-41.6722428
APS Itaobim,"Rua São Paulo 545, Centro, Itaobim - Mg",Itaobim,MG,,,-16.5585736,-41.5025529
APS Carlos Chagas,"Rua José Miguel Brandão, Centro, Carlos Chagas - Mg",Carlos Chagas,MG,,,-17.7101597,-40.7596213
APS Caraí,"Rua Boaventura Figueiredo Fonseca, Centro, Caraí - Mg",Caraí,MG,,,-19.3107331,-46.0488341
APS Novo Cruzeiro,"Rua Inacio Bahia, Centro, Novo Cruzeiro - Mg",Novo Cruzeiro,MG,,,-17.4646965,-41.8951225
APS Abaetetuba,,Abaetetuba,PA,,,,
APS Belém - Costa E Silva,"Av. Nazare - 79 - 1º Andar- Sala 105, Nazare, Belém - Pa",Belém,PA,,,-1.4533801,-48.491912
APS Belém - Icoarací,"Rua Cel. Juvêncio Sarmento, 1426, Ponta Grossa (Icoaraci), Belém - Pa",Belém,PA,,,-1.3053087,-48.4815165
APS Belém - Jurunas,"Av.Roberto Camelier, 1080, Jurunas, Belém - Pa",Belém,PA,,,-1.4690561,-48.48707779999999
APS Belém - Marco,"Pass. Lindolfo Collor, S/Nº, Marco, Belém - Pa",Belém,PA,,,-1.4308953,-48.4530479
APS Belém - Nazaré,"Av. Nazare, Nº 79, Nazare, Belém - Pa",Belém,PA,,,-1.4533801,-48.491912
APS Belém - Pedreira,"Av. Pedro Miranda, 1060, Pedreira, Belém - Pa",Belém,PA,,,-1.4305143,-48.4732425
APS Belém - São Braz,"Passagem Lindolfo Collor, S/Nº, Marco, Belém - Pa",Belém,PA,,,-1.4308953,-48.4530479
APS Belém - Telégrafo,"Av. Senador Lemos, 1583, Telegrafo Sem Fio, Belém - Pa",Belém,PA,,,-1.4295253,-48.4854555
APS Bragança,"Av.Nazeazeno Ferreira S/Nº, Centro, Bragança - Pa",Bragança,PA,,,-1.0557032,-46.7667202
APS Cametá,"Rua Adilson Machado, S/N, Centro, Cametá - Pa",Cametá,PA,,,-2.2423666,-49.4994005
APS Capanema/Pa,"Rua Dois De Junho, S/N, Centro, Capanema - Pa",Capanema,PA,,,-1.1941405,-47.1812456
APS Castanhal,"Tv Conego Luis Leitao, 1817, Centro, Castanhal - Pa",Castanhal,PA,,,-1.2964187,-47.9273782
APS Breves,"Rua Capitâo Assis, 299, Centro, Breves - Pa",Breves,PA,,,-1.6749668,-50.48018380000001
APS Mosqueiro,"Av. Joaquim Pereira De Queiroz S/N, Centro, Mosqueiro - Pa",Mosqueiro,PA,,,-1.1421454,-48.4611518
APS Paragominas,"Rua Santarém, 744, Praça 3 Irmãos, Centro, Paragominas - Pa",Paragominas,PA,,,-3.0012669,-47.3539341
APS Santa Izabel,"Av. Francisco Amâncio, 1157, Centro, Santa Izabel - Pa",Santa Izabel,PA,,,-1.2979627,-48.16180929999999
APS Ananindeua,"Artéria A-18 - Cidade Nova Iv/V, Cidade Nova, Ananindeua - Pa",Ananindeua,PA,,,-1.3601755,-48.4075528
APS Vigia,,Vigia,PA,,,,
APS Viseu,"Av. Justo Chermont S/N, Centro, Viseu - Pa",Viseu,PA,,,-1.2045173,-46.1413389
APS São Sebastião Da Boa Vista,,São Sebastião Da Boa Vista,PA,,,,
APS Curuçá,"Rua General Ferreira S/N, Centro, Curuçá - Pa",Curuçá,PA,,,-0.7333584999999999,-47.8536893
APS Garrafão Do Norte,"Rua Sergio Mota Setor 2 Quadra 84, Centro, Garrafão Do Norte - Pa",Garrafão Do Norte,PA,,,-1.931388,-47.0451735
APS Salinópolis,"Travessa Tiradentes, Nº 66, Centro, Salinópolis - Pa",Salinópolis,PA,,,-1.7271175,-48.8917699
APS Igarapé-Açu,"Av., Barão Do Rio Branco, S/N, Centro, Igarapé-Açu - Pa",Igarapé-Açu,PA,,,-1.1287181,-47.618546
APS Conceição Do Araguaia,"Av. Juscelino Kubitschek, 2650, Centro, Conceição Do Araguaia - Pa",Conceição Do Araguaia,PA,,,-8.260611599999999,-49.2631971
APS Goianésia Do Pará,,Goianésia Do Pará,PA,,,,
APS Marabá,"Rua Agropolis Do Amapá, S/N, Cidade Nova, Marabá - Pa",Marabá,PA,,,-5.374607999999999,-49.1335172
APS Ourilândia Do Norte,,Ourilândia Do Norte,PA,,,,
APS Parauapebas,"Rua 24 De Março Nº 40, Rio Verde, Parauapebas - Pa",Parauapebas,PA,,,-6.0757872,-49.8935932
APS Redenção/Pa,"Rua Engenheiro Luiz Estevão S/N, Ademar Guimaraes, Redenção/Pa - Pa",Redenção/Pa,PA,,,-8.039977,-50.0415804
APS São Geraldo Do Araguaia,"Travessa Administrativa S/N, Sao Geraldo Do Araguaia, São Geraldo Do Araguaia - Pa",São Geraldo Do Araguaia,PA,,,-6.392775299999999,-48.5630085
APS Tucuruí,"Av. Sete De Setembro S/N, Esperanca, Tucuruí - Pa",Tucuruí,PA,,,-3.769948,-49.6691672
APS Xinguara,"Rua Pedro Alvares Cabral, Quadra 16, Selectas, Xinguara - Pa",Xinguara,PA,,,-7.1107261,-49.9537396
APS Alenquer,"Rua Dr. Pedro Vicente, S/Nº, Centro, Alenquer - Pa",Alenquer,PA,,,-1.9542565,-54.7394623
APS Altamira,"Av. Brigadeiro Eduardo Gomes, Esplanada Do Xingu, Altamira - Pa",Altamira,PA,,,-3.2165713,-52.2167225
APS Itaituba,"Av. Marechal Rondon, Aeroporto Velho, Itaituba - Pa",Itaituba,PA,,,-4.2647341,-55.991954
APS Santarém,"Rua Floriano Peixoto, Centro, Santarém - Pa",Santarém,PA,,,-2.4184187,-54.7141746
APS Porto De Moz,"Travessa Duque De Caxias S/N, Centro, Porto De Moz - Pa",Porto De Moz,PA,,,-1.7518049,-52.2338065
APS Novo Progresso,"Rua Itaituba S/N, Centro, Novo Progresso - Pa",Novo Progresso,PA,,,-7.0303242,-55.415243
APS Bayeux,"Av. Liberdade - 4230, Centro, Bayeux - Pb",Bayeux,PB,,,-7.125510999999999,-34.931068
APS Guarabira,"Rua Sabiniano Maia, 903, Centro, Guarabira - Pb",Guarabira,PB,,,-6.8552019,-35.4881401
APS Itabaiana/Pb,"Av. Pref. Antonio Batista Santiago S/ Nº, Centro, Itabaiana - Pb",Itabaiana,PB,,,-7.3337253,-35.3434821
APS João Pessoa - Bela Vista,"Rua Barão Do Triunfo, 307, Varadouro, João Pessoa - Pb",João Pessoa,PB,,,-7.116064700000001,-34.8883787
APS João Pessoa - Centro,"Rua Barao Do Abiai, 73, Centro, João Pessoa - Pb",João Pessoa,PB,,,-7.1417255,-34.9717085
APS João Pessoa - Cidadã,"Rua Deputado Odon Bezerra, 100, Tambia, João Pessoa - Pb",João Pessoa,PB,,,-7.1155833,-34.8808997
APS João Pessoa - Tambauzinho,"Rua Juiz Ovidio Gouveia, S/N, Pedro Gondim, João Pessoa - Pb",João Pessoa,PB,,,-7.1174869,-34.8461379
APS João Pessoa - Sul,"Rua Paulino Dos Santos Coelho, 30, Jardim Cidade Universitaria, João Pessoa - Pb",João Pessoa,PB,,,-7.1596369,-34.8379292
APS Rio Tinto,"Rua Da Aurora, S/N, Centro, Rio Tinto - Pb",Rio Tinto,PB,,,-6.8043388,-35.0791006
APS Santa Rita/Pb,"Rua Flavio Ribeiro Coutinho, Centro, Santa Rita - Pb",Santa Rita,PB,,,-7.124674,-34.9131307
APS Solânea,"Rua Celso Cirne, 344, Centro, Solânea - Pb",Solânea,PB,,,-6.7574027,-35.6572052
APS Cuité,"Rua Petrônio Figueredo, S/N, Centro, Cuité - Pb",Cuité,PB,,,-7.130829,-34.9329993
APS Esperança,"Rua Manoel Rodrigues, 31, Centro, Esperança - Pb",Esperança,PB,,,-7.020402799999999,-35.857616
APS Cabedelo,"Rua Pompeu Henrique Cavalcante, 263, Ponta De Matos, Cabedelo - Pb",Cabedelo,PB,,,-6.9716419,-34.8340191
APS Sapé,"Praça Dr. João Ursulo, 124 - Centro, Centro, Sapé - Pb",Sapé,PB,,,-7.093262999999999,-35.2332674
APS Pedras De Fogo,"Rua Severino Borges, S/N, Centro, Pedras De Fogo - Pb",Pedras De Fogo,PB,,,-7.4002957,-35.1135182
APS Bananeiras,"Rua Antonio Coutinho - 44, Centro, Bananeiras - Pb",Bananeiras,PB,,,-6.7542469,-35.6323066
APS Alagoa Grande,"Rua Presidente João Pessoa, S/N, Centro, Alagoa Grande - Pb",Alagoa Grande,PB,,,-7.0410598,-35.627912
APS Mari,"Rua Costa E Silva, S/N, Centro, Mari - Pb",Mari,PB,,,-7.119561399999999,-34.8817282
APS Areia,"R. Aurelio De Figueiredo, Centro, Areia - Pb",Areia,PB,,,-6.9714528,-35.6937494
APS Cajazeiras,"Av. Comandante Vital Rolim, 750, Centro, Cajazeiras - Pb",Cajazeiras,PB,,,-6.8877294,-38.5560027
APS Campina Grande - Catolé,"Rua Vigário Calixto, 418, Catole, Campina Grande - Pb",Campina Grande,PB,,,-7.230804,-35.880986
APS Campina Grande - Dinamérica,"Av. Dinamérica Alves Correia, S/N, Santa Rosa, Campina Grande - Pb",Campina Grande,PB,,,-7.2350913,-35.9107433
APS Campina Grande - Tiradentes,"Rua Coronel João Lourenço Porto, 89, Centro, Campina Grande - Pb",Campina Grande,PB,,,-7.220186,-35.8824234
APS Catolé Do Rocha,"Rua Francisco Maia, S/N, Centro, Catolé Do Rocha - Pb",Catolé Do Rocha,PB,,,-6.3419587,-37.7477451
APS Itaporanga/Pb,"Rua Irineu Rodrigues Da Silva, 116, Centro, Itaporanga - Pb",Itaporanga,PB,,,-7.307481699999999,-38.1537298
APS Patos,"Rua Jarbas Moura Costa, 26, Bela Vista, Patos - Pb",Patos,PB,,,-7.0160262,-37.2876593
APS Pombal,"Ruatabelião José Vieira, S/N, Centro, Pombal - Pb",Pombal,PB,,,-6.7747123,-37.7975135
APS Sousa,"Rua Dr. José Mariz, 22, Centro, Sousa - Pb",Sousa,PB,,,-6.7598444,-38.2319967
APS Teixeira,"Rua Teodoro Nunes Da Costa, S/N, Centro, Teixeira - Pb",Teixeira,PB,,,-7.2273501,-37.2517328
APS Bonito De Santa Fé,"Rua José Arruda De Souza, S/N, Centro, Bonito De Santa Fé - Pb",Bonito De Santa Fé,PB,,,-7.3141501,-38.5164092
APS Monteiro,"Av. Rafael Sebastião, 53, Centro, Monteiro - Pb",Monteiro,PB,,,-7.8983693,-37.1205707
APS Princesa Isabel,"Rua Antônio Pessoa, 236, Centro, Princesa Isabel - Pb",Princesa Isabel,PB,,,-7.736212999999999,-37.9916986
APS Santa Luzia/Pb,,Santa Luzia,PB,,,,
APS Serra Branca,"Rua Dep. Àlvaro Gaudêncio, 50, Centro, Serra Branca - Pb",Serra Branca,PB,,,-7.1145383,-34.8643219
APS São Bento/Pb,"Rua Andreazza De Oliveira, S/N, Centro, São Bento - Pb",São Bento,PB,,,-6.4942971,-37.4516035
APS Queimadas/Pb,"Rua Odilon Almeida Barreto, S/N, Centro, Queimadas - Pb",Queimadas,PB,,,-7.3656301,-35.9048416
APS Curitiba - Cândido Lopes,"Rua Cândido Lopes, 270, Centro, Curitiba - Pr",Curitiba,PR,,,-25.4311173,-49.2749372
APS Curitiba - Hauer,"Rua Waldemar Kost, 706, Hauer, Curitiba - Pr",Curitiba,PR,,,-25.4824294,-49.2460835
APS Curitiba - Visconde De Guarapuava,"Travessa Da Lapa, Centro, Curitiba - Pr",Curitiba,PR,,,-25.4337851,-49.2662007
APS Curitiba - Xv De Novembro,"Rua Xv De Novembro, 760 - Térreo, Centro, Curitiba - Pr",Curitiba,PR,,,-25.429425,-49.26679009999999
APS Paranaguá,"Praça João Gualberto, 267, Joao Gualberto, Paranaguá - Pr",Paranaguá,PR,,,-25.5167056,-48.50709759999999
APS Araucária,"Rua Manoel Ribas 185, Centro, Araucária - Pr",Araucária,PR,,,-25.5828612,-49.3968443
APS São José Dos Pinhais,"Rua Joinville - 2643, Sao Pedro, São José Dos Pinhais - Pr",São José Dos Pinhais,PR,,,-25.5488453,-49.1963781
APS Colombo,"Rua Xv De Novembro 236 - Fundos, Centro, Colombo - Pr",Colombo,PR,,,-25.2919904,-49.2256218
APS Fazenda Rio Grande,"Rua Egito 426, Nacoes, Fazenda Rio Grande - Pr",Fazenda Rio Grande,PR,,,-25.6548549,-49.3069521
APS Campo Largo,"Rua Joaquim Ribas De Andrade, Vila Solene, Campo Largo - Pr",Campo Largo,PR,,,-25.4541388,-49.5231967
APS Pinhais,"Rua Africa, 50, Centro, Pinhais - Pr",Pinhais,PR,,,-25.4424956,-49.1876492
APS Campina Grande Do Sul,"Juscelino K De Oliveira 899 - J Paulista, Jardim Paulista, Campina Grande Do Sul - Pr",Campina Grande Do Sul,PR,,,-25.3624085,-49.1005136
APS Lapa,"Av.Juscelino Kubischek De Oliveira, 479, Centro, Lapa - Pr",Lapa,PR,,,-25.7674528,-49.7278716
APS Mandirituba,"Rua Francisco Manoel De Oliveira Mendes, Centro, Mandirituba - Pr",Mandirituba,PR,,,-25.7783808,-49.3286674
APS Itaperuçu,"Rua Crispin Furquim De Siqueira, 1780, Centro, Itaperuçu - Pr",Itaperuçu,PR,,,-25.2217263,-49.3557926
APS Assis Chateaubriand,"Av. São Luiz, S/N, Centro, Assis Chateaubriand - Pr",Assis Chateaubriand,PR,,,-24.4040201,-53.5096499
APS Cascavel/Pr,"Rua São Paulo, 603, Centro, Cascavel - Pr",Cascavel,PR,,,-24.958141,-53.455614
APS Foz Do Iguaçu,"Av. Parana 1661, Cr 1, Foz Do Iguaçu - Pr",Foz Do Iguaçu,PR,,,-25.5186579,-54.5760295
APS Francisco Beltrão,"Rua Guanabara, 410, Presidente Kennedy, Francisco Beltrão - Pr",Francisco Beltrão,PR,,,-26.0741797,-53.0469973
APS Medianeira,"Rua Riachuelo, 897, Centro, Medianeira - Pr",Medianeira,PR,,,-25.2870792,-54.0928623
APS Pato Branco,"Rua Tapajós, 520, Centro, Pato Branco - Pr",Pato Branco,PR,,,-26.2217701,-52.6727986
APS Realeza,"Rua Arnaldo Busato, 3107, Centro, Realeza - Pr",Realeza,PR,,,-25.7696534,-53.5312202
APS Toledo/Pr,"Rua Rui Barbosa, 2989, Jardim Gisela, Toledo - Pr",Toledo,PR,,,-24.71749,-53.7373528
APS Guaíra/Pr,"Rua Paraguai, 1145, Centro, Guaíra - Pr",Guaíra,PR,,,-24.0774755,-54.2525664
APS Mangueirinha,"Rua Santos Dumont, 288, Centro, Mangueirinha - Pr",Mangueirinha,PR,,,-25.9399652,-52.1753392
APS Marechal Cândido Rondon,"Av. Rio Grande Do Sul, 270, Centro, Marechal Cândido Rondon - Pr",Marechal Cândido Rondon,PR,,,-24.5625739,-54.0656433
APS Palmas/Pr,"Av. Clevelândia, 684, Centro, Palmas - Pr",Palmas,PR,,,-26.4887316,-51.9895351
APS Santo Antonio Do Sudoeste,"Rua Jesuino Teodorico De Andrade, 1417, Centro, Santo Antonio Do Sudoeste - Pr",Santo Antonio Do Sudoeste,PR,,,-26.0758755,-53.7148827
APS Dois Vizinhos,"Rua Paraná, 1147, Centro, Dois Vizinhos - Pr",Dois Vizinhos,PR,,,-25.7594374,-53.0585064
APS Palotina,"Rua Vereador Antonio Pozzan, 1797, Centro, Palotina - Pr",Palotina,PR,,,-24.291248,-53.83845359999999
