nome,endereco,cidade,uf,cep,telefone,latitude,longitude
APS Rio De Janeiro - Ciad,"Av. Presidente Vargas, 1997, Cidade Nova, Rio De Janeiro - Rj",Rio De Janeiro,RJ,,,-22.9066499,-43.193443
APS Rio De Janeiro - Barra Da Tijuca,"Av. Armando Lombardi, Nº 385, Barra Da Tijuca, Rio De Janeiro - Rj",Rio De Janeiro,RJ,,,-23.0074762,-43.3086139
APS Rio De Janeiro - Raimundo Corrêa,"Rua Raimundo Correia, 20, Copacabana, Rio De Janeiro - Rj",Rio De Janeiro,RJ,,,-22.9718476,-43.1883662
APS Rio De Janeiro - Copacabana,"Av.Nossa Sra. Copacabana, 1049, Copacabana, Rio De Janeiro - Rj",Rio De Janeiro,RJ,,,-22.9783399,-43.1908761
APS Rio De Janeiro - Cosme Velho,"Rua Das Laranjeiras 430, Laranjeiras, Rio De Janeiro - Rj",Rio De Janeiro,RJ,,,-22.9381236,-43.19164010000001
APS Rio De Janeiro - Jacarepaguá,"Rua Barão, 207, Praca Seca, Rio De Janeiro - Rj",Rio De Janeiro,RJ,,,-22.9030137,-43.34719949999999
APS Rio De Janeiro - Presidente Antônio Carlos,"Av. Presidente Antônio Carlos, 607, Centro, Rio De Janeiro - Rj",Rio De Janeiro,RJ,,,-22.9058255,-43.1740249
APS Rio De Janeiro - Miguel Lemos,"Av. Nossa Sra. De Copacabana, 1032, Copacabana, Rio De Janeiro - Rj",Rio De Janeiro,RJ,,,-22.9775792,-43.1908519
APS Rio De Janeiro - Engenheiro Trindade,"Rua Engenheiro Trindade, 429, Campo Grande, Rio De Janeiro - Rj",Rio De Janeiro,RJ,,,-22.9033598,-43.5641875
APS Rio De Janeiro - Ilha Do Governador,"Est Do Galeao - 841, Jardim Guanabara, Rio De Janeiro - Rj",Rio De Janeiro,RJ,,,-22.8117311,-43.193172
APS Rio De Janeiro - Avenida Brasil,"Av. Brasil, 17673, Iraja, Rio De Janeiro - Rj",Rio De Janeiro,RJ,,,-22.8247548,-43.331643
APS Rio De Janeiro - Ramos,"Rua Joaquim Gomes, 269, Ramos, Rio De Janeiro - Rj",Rio De Janeiro,RJ,,,-22.8513921,-43.2511684
APS Rio De Janeiro - Largo Do Bicão,"Av. Meriti, 2661/A, Vila Da Penha, Rio De Janeiro - Rj",Rio De Janeiro,RJ,,,-22.8374881,-43.3100265
APS Rio De Janeiro - Olinda Ellis,"Rua Olinda Ellis, 801, Campo Grande, Rio De Janeiro - Rj",Rio De Janeiro,RJ,,,-22.9128302,-43.5458122
APS Rio De Janeiro - Bangu,"Av. Ministro Ari Franco, 410, Bangu, Rio De Janeiro - Rj",Rio De Janeiro,RJ,,,-22.8713005,-43.4646091
APS Rio De Janeiro - Santa Cruz,"Rua Felipe Cardoso, 18, Santa Cruz, Rio De Janeiro - Rj",Rio De Janeiro,RJ,,,-22.9162393,-43.6841069
APS Rio De Janeiro - Realengo,"Rua Marechal Modestino, 160, Realengo, Rio De Janeiro - Rj",Rio De Janeiro,RJ,,,-22.8727131,-43.4317021
APS Rio De Janeiro - Olaria,"Rua Andre Azevedo, 87, Olaria, Rio De Janeiro - Rj",Rio De Janeiro,RJ,,,-22.8428219,-43.2596628
APS Bom Jesus Do Itabapoana,"Av. Roberto Silveira, 102, Centro, Bom Jesus Do Itabapoana - Rj",Bom Jesus Do Itabapoana,RJ,,,-21.136628,-41.675843
APS Campos Dos Goytacazes - Guarus - Desativada,"Unidade Desativada, Centro, Campos Dos Goytacazes - Rj",Campos Dos Goytacazes,RJ,,,-21.7614561,-41.3167841
APS Campos Dos Goytacazes - Centro,"Praça Santíssimo Salvador, 45/47, Centro, Campos Dos Goytacazes - Rj",Campos Dos Goytacazes,RJ,,,-21.7568181,-41.3237276
APS Itaperuna,"Av. Francisco Sá Tinoco, 92, Centro, Itaperuna - Rj",Itaperuna,RJ,,,-21.2093253,-41.88767259999999
APS Miracema,"Rua Marechal Floriano, 109, Centro, Miracema - Rj",Miracema,RJ,,,-21.4150819,-42.1976234
APS Santo Antônio De Pádua,"Rua José Homem Da Costa, 585, Centro, Santo Antônio De Pádua - Rj",Santo Antônio De Pádua,RJ,,,-21.5354394,-42.1869132
APS São Fidelis,"Av. Sete De Setembro, 443, Centro, São Fidelis - Rj",São Fidelis,RJ,,,-21.6480747,-41.7502859
APS Cambuci,"Rua Maria Jacobe, S/N, Centro, Cambuci - Rj",Cambuci,RJ,,,-21.575761,-41.9121593
APS Cardoso Moreira,"Rua Alexandre Assed, 87, Centro, Cardoso Moreira - Rj",Cardoso Moreira,RJ,,,-21.4939113,-41.6156721
APS Italva,"Rua Coronel Luiz Salles, 152, Centro, Italva - Rj",Italva,RJ,,,-21.4206189,-41.6958497
APS Itaocara,"Praça Coronel Guimarães, 11, Centro, Itaocara - Rj",Itaocara,RJ,,,-21.6671075,-42.081136
APS Natividade/Rj,"Av. Amaral Peixoto, 39, Centro, Natividade - Rj",Natividade,RJ,,,-21.0431651,-41.9752602
APS Porciúncula,"Praça Santo Antônio, 35, Centro, Porciúncula - Rj",Porciúncula,RJ,,,-20.962701,-42.0402244
APS São João Da Barra,"Rua Joaquim Tomás Aquino Filho, 132, Centro, São João Da Barra - Rj",São João Da Barra,RJ,,,-21.6342281,-41.0483224
APS Macaé,"Rua Doutor Francisco Portela, 569, Centro, Macaé - Rj",Macaé,RJ,,,-22.375057,-41.7803534
APS Casimiro De Abreu,"Av. Indaiasú, 25, Centro, Casimiro De Abreu - Rj",Casimiro De Abreu,RJ,,,-22.4774134,-42.2033774
APS Campos Dos Goytacazes - Treze De Maio,"Av. Treze De Maio, 70, Centro, Campos Dos Goytacazes - Rj",Campos Dos Goytacazes,RJ,,,-21.75915,-41.3233109
APS São Francisco De Itabapoana,"Rua Antônio Celso, 55, Centro, São Francisco De Itabapoana - Rj",São Francisco De Itabapoana,RJ,,,-21.4989153,-41.0847544
APS Belford Roxo,"Avenida Benjamim Pinto Dias, 561, Centro, Belford Roxo - Rj",Belford Roxo,RJ,,,-22.7696041,-43.3970251
APS Duque De Caxias,"Rua Marechal Deodoro, 1119, Jardim Vinte E Cinco De Agosto, Duque De Caxias - Rj",Duque De Caxias,RJ,,,-22.7913766,-43.3069406
APS Duque De Caxias - Jardim Primavera,"Rua Jornalista Moacir Padilha, Jardim Primavera, Duque De Caxias - Rj",Duque De Caxias,RJ,,,-22.6832254,-43.2792764
APS Itaguaí,"Rua Maria Soares Da Silva, 51, Centro, Itaguaí - Rj",Itaguaí,RJ,,,-22.8725448,-43.7720609
APS Japeri,"Est Ary Schiavo - 993, Vila Nossa Senhora Da Conceicao, Japeri - Rj",Japeri,RJ,,,-22.6630093,-43.6045305
APS Magé,"Av. Simao Da Mota, 785, Centro, Magé - Rj",Magé,RJ,,,-22.6555043,-43.0385444
APS Magé - Piabetá,"Av. Simao Da Mota, 785, Centro, Magé - Rj",Magé,RJ,,,-22.6555043,-43.0385444
APS Mesquita/Rj,"Pc Da Revolucao, 50, Edson Passos, Mesquita - Rj",Mesquita,RJ,,,-22.7963484,-43.4237288
APS Nilópolis,"Rua Mirandela, 351, Centro, Nilópolis - Rj",Nilópolis,RJ,,,-22.8096342,-43.4187744
APS Nova Iguaçu,"Rua Estados Unidos, 300, Loja, Metropole, Nova Iguaçu - Rj",Nova Iguaçu,RJ,,,-22.7504797,-43.4452486
APS Nova Iguaçu - Avenida Doutor Luiz Guimarães,"Rua Doutor Arino De Oliveira 2, Metropole, Nova Iguaçu - Rj",Nova Iguaçu,RJ,,,-22.7504978,-43.4460438
APS Paracambi,"Rua Americo Rodrigues Ferreira, 290, Centro, Paracambi - Rj",Paracambi,RJ,,,-22.6046713,-43.7060991
APS Queimados,"Est Carlos Sampaio, 7, Queimados, Queimados - Rj",Queimados,RJ,,,-22.7196571,-43.5469436
APS São João De Meriti,"Av. Automovel Clube - 2384, Vilar Dos Teles, São João De Meriti - Rj",São João De Meriti,RJ,,,-22.776851,-43.3605006
APS Duque De Caxias - Avenida Nilo Peçanha,"Av. Nilo Peçanha, 782, Centro, Duque De Caxias - Rj",Duque De Caxias,RJ,,,-22.7846176,-43.3181365
APS Guapimirim,"Estrada Do Bananal 1919, Bananal, Guapimirim - Rj",Guapimirim,RJ,,,-22.5384539,-42.98262649999999
APS Araruama,"Rodovia Amaral Peixoto Km 85 Nº 125, Centro, Araruama - Rj",Araruama,RJ,,,-22.8672109,-42.3224474
APS Cabo Frio,"Avenida Nilo Pecanha, Centro, Cabo Frio - Rj",Cabo Frio,RJ,,,-22.880734,-42.0151143
APS Itaboraí,"Rua Doutor Macedo 238, Centro, Itaboraí - Rj",Itaboraí,RJ,,,-22.7440745,-42.8564963
APS Maricá,"Rua Domicio Da Gama, 115, Centro, Maricá - Rj",Maricá,RJ,,,-22.9199815,-42.81779590000001
APS Niterói - Bairro De Fátima,"Rua Des. Athayde Parreiras, 266, Fatima, Niterói - Rj",Niterói,RJ,,,-22.8950184,-43.1097038
APS Niterói - Centro,"Rua Visconde Do Uruguai - 531, Centro, Niterói - Rj",Niterói,RJ,,,-22.8937601,-43.1221305
APS Rio Bonito,"Avenida Manoel Duarte, 715, Centro, Rio Bonito - Rj",Rio Bonito,RJ,,,-22.7096349,-42.6276412
APS São Gonçalo,"Rua Coronel Moreira Cesar, 169, Centro, São Gonçalo - Rj",São Gonçalo,RJ,,,-22.8266724,-43.0514673
APS São Pedro Da Aldeia,"Rua Francisco Dos Santos Silva, 82, Centro, São Pedro Da Aldeia - Rj",São Pedro Da Aldeia,RJ,,,-22.8400566,-42.098622
APS Arraial Do Cabo,"R. Benjamin Constant, 48 Térreo, Centro, Arraial Do Cabo - Rj",Arraial Do Cabo,RJ,,,-22.9706083,-42.0248877
APS Niterói - Barreto,"Rua Benjamin Constant 350, Santana, Niterói - Rj",Niterói,RJ,,,-22.8760889,-43.1074569
APS São Gonçalo - Paraíso,"Rua Com. Ari Parreiras, 76, Porto Velho, São Gonçalo - Rj",São Gonçalo,RJ,,,-22.8384234,-43.0896476
APS Saquarema,"Rua Heitor Bravo 08 Loja 2, Bacaxa - Bacaxa, Saquarema - Rj",Saquarema,RJ,,,-22.8949931,-42.4697695
APS Silva Jardim,"Rua Padre Ávila Lote 2-F Quadra 1, Centro, Silva Jardim - Rj",Silva Jardim,RJ,,,-22.6490937,-42.3911674
APS Tanguá,"Rua Pres Dutra Área A2 Esq Rua Xv Novembro, Centro, Tanguá - Rj",Tanguá,RJ,,,-22.7381575,-42.7199665
APS Cachoeiras De Macacu,,Cachoeiras De Macacu,RJ,,,,
APS Nova Friburgo,"Rua Coronel Galiano Das Neves, Nº 8, Centro, Nova Friburgo - Rj",Nova Friburgo,RJ,,,-22.279792,-42.5333373
APS Paraíba Do Sul,"Rua Marechal Castelo Branco, Centro, Paraíba Do Sul - Rj",Paraíba Do Sul,RJ,,,-22.1619589,-43.2871029
APS Petrópolis,"Rua Doutor Joaquim Moreira S N, Centro, Petrópolis - Rj",Petrópolis,RJ,,,-22.5077059,-43.1732658
APS Teresópolis,"Rua Monte Libano 158, Varzea, Teresópolis - Rj",Teresópolis,RJ,,,-22.4106943,-42.9667426
APS Três Rios,"Av. Condessa De Rio Novo 1787, Centro, Três Rios - Rj",Três Rios,RJ,,,-22.1174842,-43.2073984
APS Bom Jardim/Rj,"Av. Venancio Pereira Veloso 62 Loja 2, Centro, Bom Jardim - Rj",Bom Jardim,RJ,,,-22.154563,-42.4173246
APS Cantagalo/Rj,"Av. Barao De Cantagalo 100, Centro, Cantagalo - Rj",Cantagalo,RJ,,,-21.9824922,-42.3689274
APS Cordeiro,"Rua Dr Adir Vahia De Abreu 76, Centro, Cordeiro - Rj",Cordeiro,RJ,,,-22.027485,-42.3618427
APS São José Do Vale Do Rio Preto,"Rua Professora Emilia Esteves 277 A, Centro, São José Do Vale Do Rio Preto - Rj",São José Do Vale Do Rio Preto,RJ,,,-22.1492073,-42.9204389
APS Sapucaia/Rj,"Rua Mauricio De Abreu 210, Centro, Sapucaia - Rj",Sapucaia,RJ,,,-21.9953112,-42.9154913
APS Angra Dos Reis,"Rua Coronel Carvalho 43, Centro, Angra Dos Reis - Rj",Angra Dos Reis,RJ,,,-23.0059195,-44.3159856
APS Barra Do Piraí,"Rua Aureliano Garcia 212, Centro, Barra Do Piraí - Rj",Barra Do Piraí,RJ,,,-22.4721139,-43.8234796
APS Barra Mansa,"Avenida Domingos Mariano 317, Centro, Barra Mansa - Rj",Barra Mansa,RJ,,,-22.5430091,-44.1765822
APS Resende,"Rua Paul Harris 50, Centro, Resende - Rj",Resende,RJ,,,-22.4673207,-44.4497829
APS Valença/Rj,"Av. Nilo Peçanha 128, Centro, Valença - Rj",Valença,RJ,,,-22.2440671,-43.7017344
