NOME, ENDERECO, CIDADE, UF, CEP, TELEFONE, LATITUDE, LONGITUDE
"APS TIMÓTEO,""RUA 05 DE MARÇO, 37"",TIMÓTEO,MG,,,-19.5388496,-42.6487348"
"APS INHAPIM,""R CORONEL ANTONIO FERNANDES,100"",INHAPIM,MG,,,-19.5508576,-42.1213986"
"APS MANTENA,""AV GETULIO VARGAS , 53"",MANTENA,MG,,,-18.7804566,-40.9820354"
"APS CONSELHEIRO PENA,""RUA MARIA FRANCISCA DE JESUS ,112"",CONSELHEIRO PENA,MG,,,-19.1735404,-41.47232150000001"
APS MANHUMIRIM,RUA NOVA ESPERANÇA - SN,MANHUMIRIM,MG,,,-20.351833,-41.9602943
"APS MUTUM,""RUA CORONEL BRANDÃO, 80"",MUTUM,MG,,,-19.818691,-41.437756"
APS SANTA MARIA DO SUAÇUÍ,RUA DOMINGOS PETRUCELLI,SANTA MARIA DO SUAÇUÍ,MG,,,-29.6882192,-53.8047376
"APS SÃO JOÃO EVANGELISTA,""AV. 1º DE JUNHO, 1470"",SÃO JOÃO EVANGELISTA,MG,,,-18.550852,-42.764384"
APS BELO ORIENTE,PÇA SEVERO LOURENÇO DA COSTA,BELO ORIENTE,MG,,,-19.919168,-43.9386558
"APS CARANGOLA,""RUA PEDRO DE OLIVEIRA, 427"",CARANGOLA,MG,,,-20.7315035,-42.0339297"
"APS CATAGUASES,""RUA CORONEL VIEIRA , 140"",CATAGUASES,MG,,,-21.3879906,-42.6963173"
APS JUIZ DE FORA - SÃO DIMAS,AV BRASIL - 9501,JUIZ DE FORA,MG,,,-21.7446395,-43.3598429
APS JUIZ DE FORA - LARGO DO RIACHUELO,R SANTO ANTONIO - 115,JUIZ DE FORA,MG,,,-21.7543865,-43.3528338
APS LEOPOLDINA,RUA DR. ANTONIO DE OLIVEIRA GUIMARÃES 26,LEOPOLDINA,MG,,,-21.5374109,-42.63883999999999
APS MURIAÉ,RUA ANTONIO CANEDO,MURIAÉ,MG,,,-21.1319154,-42.3651143
"APS ALÉM PARAÍBA,""AV. JOSÉ AVELINO DE FREITAS , 125"",ALÉM PARAÍBA,MG,,,,"
"APS PALMA,""RUA PAULA FREITAS, 98"",PALMA,MG,,,-21.3778871,-42.3164171"
"APS RECREIO,""RUA TENENTE JOAQUIM PEREIRA, 184"",RECREIO,MG,,,-21.5237523,-42.47293850000001"
"APS SÃO JOÃO NEPOMUCENO,""RUA CAPITÃO BASÍLIO , 152"",SÃO JOÃO NEPOMUCENO,MG,,,-21.5338872,-43.0133525"
APS JUIZ DE FORA - MORRO DA GLÓRIA,AV DOS ANDRADAS - 221,JUIZ DE FORA,MG,,,-21.7541543,-43.3522983
"APS ESPERA FELIZ,""RUA GENÉSIO DE ASSIS MARINHO, 146"",ESPERA FELIZ,MG,,,-20.652005,-41.9113822"
"APS BOCAIUVA,""RUA CÔNEGO VERSIANE, 34"",BOCAIUVA,MG,,,-17.1121573,-43.814365"
"APS ESPINOSA,""AVENIDA JOÃO ARAÚJO LINS, 60"",ESPINOSA,MG,,,-14.9293938,-42.8158198"
APS JANAÚBA,RUA SÃO JOÃO DA PONTE Nº 208,JANAÚBA,MG,,,-15.8053844,-43.3075564
"APS JANUÁRIA,""RUA DO SERTANEJO, 140"",JANUÁRIA,MG,,,-15.4794377,-44.3663922"
APS MONTES CLAROS,RUA DOM PEDRO II 152,MONTES CLAROS,MG,,,-16.7247911,-43.8674984
"APS PIRAPORA,""PRAÇA DOS CARIRIS, 58"",PIRAPORA,MG,,,-17.3519196,-44.9499939"
"APS SÃO FRANCISCO/MG,""AV BRAZILIANO, Nº 790"",SÃO FRANCISCO,MG,,,-15.9501827,-44.8637331"
"APS SALINAS,""RUA BELO HORIZONTE, 44"",SALINAS,MG,,,-16.1685204,-42.2983892"
"APS BRASÍLIA DE MINAS,""RUA PEDRO TAMPA, 141"",BRASÍLIA DE MINAS,MG,,,-16.2145995,-44.4317782"
"APS CORAÇÃO DE JESUS,""AVENIDA JUCA QUEIROZ, 1045"",CORAÇÃO DE JESUS,MG,,,-16.6875461,-44.36635920000001"
"APS RIO PARDO DE MINAS,""PRAÇA MARECHAL DEODORO, 196"",RIO PARDO DE MINAS,MG,,,-15.6151338,-42.5432613"
